case_id,case_title,case_text,case_category,case_type,jurisdiction,year
2845,Child Custody Matter 1278,"The present case arises from a dispute involving the petitioner. The matter relates to child custody and involves guardianship and alimony. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 134.",Family,Child Custody,Family Court,2018
1456,Ownership Dispute Matter 458,"The parties entered into proceedings concerning construction project. The matter relates to ownership dispute and involves possession and property rights. The relevant party sought compensation. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 454.",Civil,Ownership Dispute,Family Court,2023
872,Negligence Claim Matter 134,"The parties entered into proceedings concerning loan agreement. The matter relates to negligence claim and involves ownership and compensation. The relevant party requested possession. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 509.",Civil,Negligence Claim,Commercial Court,2018
1907,Theft Matter 805,"The petitioner filed proceedings before the court concerning the complainant. The matter relates to theft and involves prosecution and offence. The relevant party was arrested during investigation. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 423.",Criminal,Theft,Civil Court,2020
805,Marriage Dispute Matter 1160,"The petitioner filed proceedings before the court concerning the child. The matter relates to marriage dispute and involves family relationship and marriage. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 348.",Intellectual Property,Marriage Dispute,Sessions Court,2024
2464,Guardianship Matter 1129,"The present case arises from a dispute involving the spouse. The matter relates to guardianship and involves divorce and alimony. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 118.",Family,Guardianship,Family Court,2021
2701,Divorce Matter 1260,"The matter before the court concerns the respondent. The matter relates to divorce and involves alimony and maintenance. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 109.",Family,Divorce,District Court,2023
1304,Trademark Infringement Matter 2868,"The petitioner filed proceedings before the court concerning the company. The matter relates to trademark infringement and involves licensing and rights holder. The relevant party disputed a licensing agreement. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 441.",Intellectual Property,Trademark Infringement,District Court,2021
355,Licensing Dispute Matter 2582,"The present case arises from a dispute involving the company. The matter relates to licensing dispute and involves rights holder and infringement. The relevant party alleged trademark infringement. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 197.",Intellectual Property,Licensing Dispute,Commercial Court,2020
2814,Ownership Dispute Matter 86,"THE PARTIES ENTERED INTO PROCEEDINGS CONCERNING CONSTRUCTION PROJECT. THE MATTER RELATES TO OWNERSHIP DISPUTE AND INVOLVES POSSESSION AND PROPERTY RIGHTS. THE RELEVANT PARTY FILED A CIVIL CLAIM. THE PLEADINGS STATE THAT THE DISPUTE DEVELOPED OVER APPROXIMATELY 36 MONTHS AND INVOLVED AN AMOUNT OR CLAIM VALUED AT 25000 MONETARY UNITS. THE PARTIES RELIED ON AGREEMENTS, RECORDS, CORRESPONDENCE, AND OTHER EVIDENCE. THE DISPUTE REMAINED SUBJECT TO JUDICIAL DETERMINATION. THE PARTIES RELIED ON SUPPORTING RECORDS DURING THE PROCEEDINGS. VARIATION 318.",Civil,Ownership Dispute,District Court,2021
2168,Damages Claim Matter 11,"The applicant submitted a petition regarding commercial premises. The matter relates to damages claim and involves possession and property rights. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The claim was examined in light of the facts stated in the pleadings. Variation 229.",Civil,Damages Claim,Commercial Court,2022
735,Divorce Matter 1134,"The present case arises from a dispute involving the respondent. The matter relates to divorce and involves divorce and alimony. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 42.",Family,Divorce,District Court,2023
2519,Maintenance Matter 1217,"The parties entered into proceedings concerning the child. The matter relates to maintenance and involves guardianship and marriage. The relevant party challenged the marriage claim. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 142.",Family,Maintenance,Family Court,2025
864,Assault Matter 780,"The petitioner filed proceedings before the court concerning the investigating officer. The matter relates to assault and involves evidence and investigation. The relevant party was arrested during investigation. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 343.",Criminal,Assault,Sessions Court,2025
2157,Company Claim Matter 1773,"The applicant submitted a petition regarding the respondent company. The matter relates to company claim and involves business and partnership. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties presented relevant documents for consideration. Variation 70.",Commercial,Company Claim,District Court,2024
2280,Assault Matter 880,"The parties entered into proceedings concerning the accused. The matter relates to assault and involves criminal proceedings and evidence. The relevant party was charged with an offence. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 139.",Criminal,Assault,High Court,2022
59,Trademark Infringement Matter 2773,"The applicant submitted a petition regarding the company. The matter relates to trademark infringement and involves patent and licensing. The relevant party challenged patent use. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 169.",Intellectual Property,Trademark Infringement,Sessions Court,2019
2595,Damages Claim Matter 296,"The parties entered into proceedings concerning residential property. The matter relates to damages claim and involves breach and compensation. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 269.",Civil,Damages Claim,Commercial Court,2024
2077,Child Custody Matter 1327,"The claimant brought an action relating to the spouse. The matter relates to child custody and involves maintenance and guardianship. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 422.",Family,Child Custody,High Court,2023
2654,Contract Dispute Matter 204,"The matter before the court concerns land parcel. The matter relates to contract dispute and involves damages and breach. The relevant party sought compensation. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 128.",Civil,Contract Dispute,Civil Court,2021
2264,Offence Investigation Matter 508,"The petitioner filed proceedings before the court concerning the accused. The matter relates to offence investigation and involves evidence and accused. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The matter also concerns the documentary record submitted by the parties. Variation 141.",Criminal,Offence Investigation,Family Court,2020
215,Assault Matter 803,"The applicant submitted a petition regarding the prosecution. The matter relates to assault and involves criminal proceedings and prosecution. The relevant party denied the allegations. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 179.",Criminal,Assault,Civil Court,2021
2333,Ownership Dispute Matter 94,"The parties entered into proceedings concerning residential property. The matter relates to ownership dispute and involves negligence and damages. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 518.",Civil,Ownership Dispute,District Court,2019
1074,Offence Investigation Matter 713,"The present case arises from a dispute involving the accused. The matter relates to offence investigation and involves offence and arrest. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties presented relevant documents for consideration. Variation 395.",Criminal,Offence Investigation,District Court,2022
1180,Copyright Claim Matter 2733,"The parties entered into proceedings concerning the company. The matter relates to copyright claim and involves trademark and patent. The relevant party alleged trademark infringement. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties relied on supporting records during the proceedings. Variation 348.",Intellectual Property,Copyright Claim,Family Court,2025
1540,Damages Claim Matter 9,"The matter before the court concerns land parcel. The matter relates to damages claim and involves possession and negligence. The relevant party requested possession. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 293.",Civil,Damages Claim,High Court,2018
2515,Ownership Dispute Matter 410,"The matter before the court concerns residential property. The matter relates to ownership dispute and involves damages and breach. The relevant party sought compensation. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 12.",Civil,Ownership Dispute,Sessions Court,2024
2078,Maintenance Matter 1451,"The matter before the court concerns the spouse. The matter relates to maintenance and involves maintenance and marriage. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 153.",Criminal,Maintenance,Civil Court,2023
804,Damages Claim Matter 452,"The claimant brought an action relating to residential property. The matter relates to damages claim and involves breach and possession. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 264.",Criminal,Damages Claim,Sessions Court,2021
454,Divorce Matter 1114,"The claimant brought an action relating to the parents. The matter relates to divorce and involves divorce and alimony. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. Additional correspondence was considered as part of the dispute. Variation 372.",Family,Divorce,Sessions Court,2023
2167,Fraud Matter 961,"The matter before the court concerns the accused. The matter relates to fraud and involves criminal proceedings and arrest. The relevant party was accused of unlawful conduct. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties presented relevant documents for consideration. Variation 300.",Criminal,Fraud,High Court,2024
2286,Guardianship Matter 1117,"The applicant submitted a petition regarding the petitioner. The matter relates to guardianship and involves alimony and maintenance. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 282.",Family,Guardianship,High Court,2019
1125,Assault Matter 607,"The claimant brought an action relating to the complainant. The matter relates to assault and involves investigation and arrest. The relevant party denied the allegations. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties presented relevant documents for consideration. Variation 10.",Criminal,Assault,Family Court,2024
214,Partnership Dispute Matter 1757,"The claimant brought an action relating to the business partner. The matter relates to partnership dispute and involves business and transaction. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 564.",Commercial,Partnership Dispute,District Court,2019
1168,Salary Dispute Matter 2188,"The parties entered into proceedings concerning the employer. The matter relates to salary dispute and involves workplace and dismissal. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 272.",Employment,Salary Dispute,Civil Court,2020
1193,Property Dispute Matter 403,"The applicant submitted a petition regarding commercial premises. The matter relates to property dispute and involves possession and compensation. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 549.",Civil,Property Dispute,Commercial Court,2023
962,Divorce Matter 1312,"The applicant submitted a petition regarding the parents. The matter relates to divorce and involves guardianship and custody. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 413.",Family,Divorce,Civil Court,2020
342,Contract Dispute Matter 318,"The applicant submitted a petition regarding construction project. The matter relates to contract dispute and involves negligence and damages. The relevant party requested possession. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The claim was examined in light of the facts stated in the pleadings. Variation 344.",Civil,Contract Dispute,Family Court,2024
148,Dismissal Dispute Matter 2486,"The claimant brought an action relating to the management. The matter relates to dismissal dispute and involves salary and dismissal. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 243.",Employment,Dismissal Dispute,Family Court,2023
1993,Ownership Dispute Matter 142,"The applicant submitted a petition regarding land parcel. The matter relates to ownership dispute and involves compensation and damages. The relevant party filed a civil claim. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 567.",Intellectual Property,Ownership Dispute,Family Court,2018
2471,Criminal Breach Matter 832,"The parties entered into proceedings concerning the investigating officer. The matter relates to criminal breach and involves evidence and prosecution. The relevant party denied the allegations. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 98.",Criminal,Criminal Breach,Sessions Court,2020
2139,Salary Dispute Matter 2100,"The claimant brought an action relating to the management. The matter relates to salary dispute and involves salary and termination. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 8.",Employment,Salary Dispute,District Court,2020
2900,IP Infringement Matter 2850,"The claimant brought an action relating to the applicant. The matter relates to ip infringement and involves licensing and rights holder. The relevant party sought an injunction against unauthorized use. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 186.",Intellectual Property,IP Infringement,District Court,2023
218,Property Dispute Matter 61,"The present case arises from a dispute involving sale agreement. The matter relates to property dispute and involves damages and breach. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties presented relevant documents for consideration. Variation 415.",Civil,Property Dispute,District Court,2021
2073,Commercial Contract Matter 1767,"The parties entered into proceedings concerning the purchaser. The matter relates to commercial contract and involves partnership and commercial agreement. The relevant party sought commercial damages. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The matter also concerns the documentary record submitted by the parties. Variation 476.",Commercial,Commercial Contract,District Court,2022
453,Trademark Infringement Matter 2881,"The present case arises from a dispute involving the company. The matter relates to trademark infringement and involves trademark and copyright. The relevant party claimed copyright ownership. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 378.",Intellectual Property,Trademark Infringement,High Court,2021
930,Wrongful Termination Matter 2483,"The parties entered into proceedings concerning the claimant. The matter relates to wrongful termination and involves workplace and employer. The relevant party sought compensation for workplace loss. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 11.",Employment,Wrongful Termination,Civil Court,2022
2104,Maintenance Matter 1089,"The petitioner filed proceedings before the court concerning the spouse. The matter relates to maintenance and involves maintenance and divorce. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 323.",Family,Maintenance,Family Court,2019
1239,Property Dispute Matter 166,"The applicant submitted a petition regarding loan agreement. The matter relates to property dispute and involves damages and property rights. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 143.",Civil,Property Dispute,High Court,2023
2067,Criminal Breach Matter 644,"The applicant submitted a petition regarding the complainant. The matter relates to criminal breach and involves accused and prosecution. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The matter also concerns the documentary record submitted by the parties. Variation 331.",Criminal,Criminal Breach,Family Court,2018
2253,Theft Matter 576,"The applicant submitted a petition regarding the accused. The matter relates to theft and involves arrest and investigation. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 52.",Criminal,Theft,Commercial Court,2022
1806,Maintenance Matter 1198,"The applicant submitted a petition regarding the spouse. The matter relates to maintenance and involves family relationship and maintenance. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties presented relevant documents for consideration. Variation 200.",Family,Maintenance,Family Court,2019
2517,Negligence Claim Matter 116,"The present case arises from a dispute involving sale agreement. The matter relates to negligence claim and involves possession and compensation. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties presented relevant documents for consideration. Variation 285.",Civil,Negligence Claim,High Court,2024
1033,Divorce Matter 1071,,Family,Divorce,District Court,2023
978,Dismissal Dispute Matter 2028,"The present case arises from a dispute involving the management. The matter relates to dismissal dispute and involves workplace and termination. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 209.",Employment,Dismissal Dispute,Commercial Court,2021
1398,Partnership Dispute Matter 1752,"The matter before the court concerns the respondent company. The matter relates to partnership dispute and involves company and business. The relevant party alleged breach of a commercial agreement. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 57.",Commercial,Partnership Dispute,District Court,2018
2143,Negligence Claim Matter 190,"The parties entered into proceedings concerning residential property. The matter relates to negligence claim and involves ownership and compensation. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. Additional correspondence was considered as part of the dispute. Variation 532.",Civil,Negligence Claim,Commercial Court,2022
2672,Maintenance Matter 1398,"The matter before the court concerns the parents. The matter relates to maintenance and involves alimony and divorce. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties presented relevant documents for consideration. Variation 20.",Family,Maintenance,Commercial Court,2024
1114,Maintenance Matter 1087,"The petitioner filed proceedings before the court concerning the child. The matter relates to maintenance and involves marriage and family relationship. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 307.",Family,Maintenance,Family Court,2018
1671,Wrongful Termination Matter 2477,"The applicant submitted a petition regarding the employee. The matter relates to wrongful termination and involves dismissal and employment. The relevant party claimed unpaid salary. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties presented relevant documents for consideration. Variation 20.",Employment,Wrongful Termination,High Court,2020
2439,Child Custody Matter 1175,"The present case arises from a dispute involving the child. The matter relates to child custody and involves maintenance and divorce. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 339.",Family,Child Custody,Sessions Court,2019
1243,Maintenance Matter 1054,"The applicant submitted a petition regarding the spouse. The matter relates to maintenance and involves alimony and guardianship. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties presented relevant documents for consideration. Variation 140.",Employment,Maintenance,Commercial Court,2020
1794,Negligence Claim Matter 462,"The present case arises from a dispute involving commercial premises. The matter relates to negligence claim and involves ownership and damages. The relevant party requested possession. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 59.",Civil,Negligence Claim,Commercial Court,2021
802,Wrongful Termination Matter 2469,"The applicant submitted a petition regarding the management. The matter relates to wrongful termination and involves workplace and employment. The relevant party claimed unpaid salary. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The matter also concerns the documentary record submitted by the parties. Variation 81.",Employment,Wrongful Termination,District Court,2022
2148,Guardianship Matter 1289,"The petitioner filed proceedings before the court concerning the petitioner. The matter relates to guardianship and involves marriage and custody. The relevant party challenged the marriage claim. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 384.",Family,Guardianship,Commercial Court,2023
2877,Business Dispute Matter 1688,"The present case arises from a dispute involving the supplier. The matter relates to business dispute and involves partnership and commercial agreement. The relevant party sought commercial damages. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 336.",Commercial,Business Dispute,Sessions Court,2018
1600,Trade Dispute Matter 1866,"The claimant brought an action relating to the business partner. The matter relates to trade dispute and involves partnership and commercial agreement. The relevant party alleged breach of a commercial agreement. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 116.",Commercial,Trade Dispute,Sessions Court,2025
151,Partnership Dispute Matter 1617,"The petitioner filed proceedings before the court concerning the supplier. The matter relates to partnership dispute and involves partnership and transaction. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 281.",Commercial,Partnership Dispute,Sessions Court,2023
2389,Trademark Infringement Matter 2925,"The applicant submitted a petition regarding the company. The matter relates to trademark infringement and involves patent and copyright. The relevant party disputed a licensing agreement. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties presented relevant documents for consideration. Variation 80.",Intellectual Property,Trademark Infringement,Commercial Court,2022
2376,Property Dispute Matter 34,"The petitioner filed proceedings before the court concerning sale agreement. The matter relates to property dispute and involves breach and ownership. The relevant party requested possession. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 373.",Civil,Property Dispute,High Court,2022
